"white = object name
yellow = flags
Cl* IC 348 LRL 336,Cl* IC 348 LRL 336,,,,S,56.13485208,32.0576325,IC348,II,2.630267992,,2,248.651068,5.405,1.305,-7.426,0.671,,,3.12,,,,Muzerolle 2003,20.68,,14.884,0.036,14.04,0.03,13.48,0.03,,,Muzerolle 2003,Keck II/ESI,2001,,,,M5.5,,,,0.1000,,,,1,,Line Width,Ha 10% width,-121,,,,-42,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,,,,,,,,,,,,,,,,,,,<-0.1,,,,,,,,,,,1.00E-10,,Muzerolle 2001,D'Antona 1998,disk classification from Ruiz-Rodrigues 2018
2MASS J11072443-7743489,2MASS J11072443-7743489,,,UPP,S,166.851832,-77.730263,Chameleon I,III,2,,2,193.3076878,-23.11,0.379,-0.289,0.379,,,,,1.08,,"Luhman+2007 , A_j",19.55,,13.453,0.032,12.416,0.024,11.835,0.021,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.75,,"3,024.00",,0.1100,,0.042,,0.75,,Line Width,Ha 10% width,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
Haro 6-36,CIDA 14,,,,S,70.83427333,29.66834806,Taurus,II,0.1258925412,,2,171.1683955,2.607,0.246,-22.062,0.118,,,0.34,,,,Muzerolle 2003,,,10.402,0.022,9.73,0.021,9.408,0.018,,,Muzerolle 2003,Keck I/HIRES,2000,,,,M5,,,,0.1200,,,,,,Line Width,Ha 10% width,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<-0.1,,,,0.51,,,,,,,5.01E-11,,Muzerolle 2001,D'Antona 1998,
2MASS J11075993-7715317,2MASS J11075993-7715317,,,UPP,S,166.999709,-77.258827,Chameleon I,III,2,,2,194.2313295,-21.936,0.277,0.121,0.237,11.66,3.07,,,0.68,,"Luhman+2007 , A_j",17.87,,12.522,0.024,11.646,0.022,11.167,0.021,,,Muzerolle 2005,Magellan II/MIKE,2003,,,,M5.75,,"3,024.00",,0.1200,,0.067,,0.95,,Line Width,Ha 10% width,-8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-12,,Muzerolle 2003,Baraffe 1998,disk classification from Luhman et al. 2008
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,,,S,56.14770417,32.14899972,IC348,II,0.4365158322,,2,321.3264355,6.913,0.905,-8.647,0.539,14.39,0.611,2.41,,,,Muzerolle 2003,17.71,,13.25,0.024,12.309,0.024,11.826,0.024,,,Muzerolle 2003,Keck II/ESI,2001,,,,M5.25,,,,0.1200,,,,1,,Line Width,Ha 10% width,-54,,,,-28,,,,-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,-0.4:,,,,0.5,,,,,,,1.00E-10,,Muzerolle 2001,D'Antona 1998,disk classification from Ruiz-Rodrigues 2018
MHO 6,MHO 6,,,,S,68.0921275,18.46184667,Taurus,II,2.041737945,,2,141.9184537,11.796,0.222,-18.596,0.113,,,0.86,,,,Muzerolle 2003,,,11.711,0.029,11.02,0.04,10.649,0.024,,,Muzerolle 2003,Keck II/ESI,2001,,,,M4.75,,,,0.1300,,,,1,,Line Width,Ha 10% width,-25,,,,-13,,,,-11,,,,-8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,,,,,,,,,,,,,,,,,,<-0.1,,,,0.5,,,,,,,5.01E-11,,Muzerolle 2001,D'Antona 1998,disk classification from LUHMAN ET AL. JAN 2010
2MASS J05390878-0231115,SO908,,,,S,84.78665,-2.51992,σ Ori,EV,3,,2,335.3341605,1.095,0.169,-0.093,0.148,31.19,0.235,,,0.192,,McMahon2020,16.82,0.01,13.036,0.027,12.156,0.024,11.702,0.023,,,Rigliaco 2011,FLAMES/Giraffe,2004,4,360.0,,M3.0,,"3,200.00",150,0.2000,,0.1,,1.03,,Line Width,Ha 10% width,-19.65,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-09,,Natta 2004,Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
V* TY Ori,SO615,,,,S,84.64941,-2.73083,σ Ori,EV,3,,2,411.3533525,1.447,0.079,-0.576,0.069,31.2718,0.500689,,,0.2122,,McMahon2020,13.08,0.01,10.445,0.027,9.726,0.024,9.311,0.028,,,Rigliaco 2011,TNG/SARG,2009,4,360.0,,K3.0,,"3,500.00",150,0.6000,,0.69,,2.27,,Line Width,Ha 10% width,-4.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12E-10,,Natta 2004,Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
2MASS J05385831-0216101,SO818,,,,S,84.74306,-2.26953,σ Ori,II*,3,,2,398.6922893,0.665,0.067,0.458,0.057,26.0964,0.126643,,,0.1511,,McMahon2020,14.62,0.02,12.338,0.028,11.561,0.026,11.282,0.023,,,Rigliaco 2011,TNG/SARG,2009,4,360.0,,M0.0,,"3,700.00",150,0.7000,,0.21,,1.12,,Line Width,Ha 10% width,-6.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14E-10,,Natta 2004,Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
Haro 5-19,SO897,,,,S,84.78176,-2.54423,σ Ori,II*,3,,2,400.9140841,1.924,0.051,-1.508,0.048,29.88,0.566,,,0.197,,McMahon2020,13.18,0.01,11.298,0.026,10.573,0.024,10.26,0.023,,,Rigliaco 2011,TNG/SARG,2009,4,360.0,,K6.5,,"3,700.00",150,0.8000,,0.5,,1.73,,Line Width,Ha 10% width,-4.21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45E-11,,Natta 2004,Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
Haro 5-19,SO897,,,,S,84.78176,-2.54423,σ Ori,II*,3,,2,400.9140841,1.924,0.051,-1.508,0.048,29.88,0.566,,,0.197,,McMahon2020,13.18,0.01,11.298,0.026,10.573,0.024,10.26,0.023,,,Rigliaco 2011,FLAMES/Giraffe,2004,4,360.0,,K6.5,,"3,700.00",150,0.8000,,0.5,,1.73,,Line Width,Ha 10% width,-13.19,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-08,,Natta 2004,Baraffe 1998,Added SIMBAD spectral type (Hernandez 2014)
PDS 70 c,PDS 70 c,COM,0.225,UPP,P,212.0423105,-41.39793796,Centaurus,II,5.4,,2,113.43,-29.661,0.066,-23.823,0.064,,,3.3,,,,Hashimoto 2020,,,,,,,,,,,Hashimoto 2020,VLT/MUSE,2018,,113.0,,,,,,0.0105,0.0047729712,,,0.20552537,,Line Strength,Ha Hb Line Luminosity,,,3.10E-16,3.00E-17,,,1.60E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55E-11,,Aoyama2019,,HB is the upper limit
PDS 70 b,PDS 70 b,COM,0.178,UPP,P,212.0423105,-41.39793796,Centaurus,II,5.4,,2,113.43,-29.661,0.066,-23.823,0.064,,,3.3,,,,Hashimoto 2020,,,,,,,,,,,Hashimoto 2020,VLT/MUSE,2018,,113.0,,,,,,0.0115,0.0028637827,,,0.20552537,,Line Strength,Ha Hb Line Luminosity,,,8.10E-16,3.00E-17,,,2.30E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.77E-10,,Aoyama2019,,HB is the upper limit
SCR J0103-5515C,Delorme 1 (AB)b,COM,1.77,,P,51.8958,-55.2656,TucanaHorologium,,30,,,,100.2,2,-47,2.4,4,2,0.0582,,,,Schlafly 2011,,,15.4,0.3,14.2,0.2,13.6,0.2,,,Eriksson 2020,VLT/MUSE,2018,,47.2,3.1,L0,,"1,801.00",,0.0120,,0.0002630267992,,0.163,,Line Strength,Ha Line Luminosity,-135,5,1.28E-15,7.00E-17,,,1.39E-16,1.00E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,0.2,1.80E-17,3.00E-18,-1,0.1,1.50E-17,4.00E-18,,,,,,,,,,,,,,,,,-6.23,0.4100,3.55E-07,,Alcala 2017,Baraffe 2002,
SCR J0103-5515C,Delorme 1 (AB)b,COM,1.77,,P,51.8958,-55.2656,TucanaHorologium,,30,,,,100.2,2,-47,2.4,4,2,0.0582,,,,Schlafly 2011,,,15.4,0.3,14.2,0.2,13.6,0.2,,,Eriksson 2020,VLT/MUSE,2018,,47.2,3.1,L0,,"1,801.00",,0.0120,,0.0002630267992,,0.163,,Line Strength,Ha Line Luminosity,-135,5,1.28E-15,7.00E-17,,,1.39E-16,1.00E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9,0.2,1.80E-17,3.00E-18,-1,0.1,1.50E-17,4.00E-18,,,,,,,,,,,,,,,,,-6.13,0.5600,8.38E-06,,Thanathibodee 2019,,
NAME SR 12C,SR12 c,COM,8.7,,BD,246.8333,-24.5831,p Oph,U,1,,,,-5.9,0.5,-24.4,0.4,,,1.77,0.71,,,"Kuzuhara+2011, converted from A_J",,,16.069,0.01,15.321,0.09,14.57,0.009,,,Santamaria-Miranda 2018/2019,VLT/X-shooter,2016,4,125.0,25,L0,1,"2,600.00",100,0.0130,0.007,,,0.19,,Line Strength,Ha Line Luminosity,-57.39,17.71,1.34E-15,5.00E-17,-46.9,4.21,2.19E-16,3.00E-18,-23.06,2.28,6.57E-16,4.00E-18,,,,,,,,,-9.37,0.44,8.93E-17,1.20E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.97,0.5,1.61E-16,1.29E-16,-5.465973894,-6.0315,1.61E-12,1.14E-12,Rigliaco 2012,,Corrections published in 2019 Erratum paper
2MASS J16060629-2335133,USCo 1606-2335,,,,BD,241.526225,-23.58704583,Upper Scorpius,,11,,,,-6.6,2.46,-19.21,2.46,,,,,0.1142,,McMahon2020,,,16.107,0.11,15.544,0.13,15.052,0.161,,,Petrus 2020,VLT/X-Shooter,6/2014,4.36,146.0,3,L0,,"2,519.00",141,0.0146,0.001054650048,0.0007762471166,0.0002861740522,0.167505909,0.0154146542,Line Strength,Ha Line Luminosity,,,5.30E-17,1.90E-17,,,2.30E-17,1.70E-17,,,1.40E-17,1.40E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.13e-16,,,<0.15e-16,,,,,,,,,,,-6.69,0.1600,1.32E-13,1.09E-13,Alcala 2017,,
2MASS J16060629-2335133,USCo 1606-2335,,,,BD,241.526225,-23.58704583,Upper Scorpius,,11,,,,-6.6,2.46,-19.21,2.46,,,,,0.1142,,McMahon2020,,,16.107,0.11,15.544,0.13,15.052,0.161,,,Petrus 2020,VLT/X-Shooter,6/2014,4.36,146.0,3,L0,,"2,519.00",141,0.0146,0.001054650048,0.0007762471166,0.0002861740522,0.167505909,0.0154146542,Line Strength,Ha Line Luminosity,,,7.20E-17,1.70E-17,,,1.80E-17,1.10E-17,,,2.20E-17,1.90E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.32e-16,,,<0.09e-16,,,,,,,,,,,-6.54,0.0900,1.86E-13,1.12E-13,Alcala 2017,,
2MASS J16082847-2315103,USCO J1608-2315,,,,BD,242.1186308,-23.25288333,Upper Scorpius,,10,,2,221.8623122,-5.664,2.382,-23.504,1.334,,,,,0.1384,,McMahon2020,,,15.482,0.06,14.775,0.048,14.205,0.07,,,Petrus 2020,VLT/X-Shooter,6/2014,4.16,221.9,,M11,,"2,487.00",147,0.0188,,0.001380384265,0.0004770913357,0.2055287226,0.01233172336,Line Strength,Ha Line Luminosity,,,7.65E-16,7.65E-16,,,1.07E-16,1.40E-17,,,8.30E-17,1.40E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.25e-16,,,<0.11e-16,,,,,,,,,,,-6.34,0.0400,2.09E-13,1.25E-13,Alcala 2017,,
2MASS J16082847-2315103,USCO J1608-2315,,,,BD,242.1186308,-23.25288333,Upper Scorpius,,10,,2,221.8623122,-5.664,2.382,-23.504,1.334,,,,,0.1384,,McMahon2020,,,15.482,0.06,14.775,0.048,14.205,0.07,,,Petrus 2020,VLT/X-Shooter,6/2014,4.16,221.9,,M11,,"2,487.00",147,0.0188,,0.001380384265,0.0004770913357,0.2055287226,0.01233172336,Line Strength,Ha Line Luminosity,,,1.20E-15,3.80E-17,,,1.85E-16,2.50E-17,,,1.07E-16,2.30E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.29e-16,,,<0.11e-16,,,,,,,,,,,-5.16,0.0300,3.16E-12,1.82E-12,Alcala 2017,,
EPIC 205137295,USco 1610-1913B,COM,5.837,,BD,242.6346946,-19.21899722,Upper Scorpius,,10,,2,143.6781609,-7.043,1.112,-24.982,0.576,,,0.13,,,,Petrus 2020,,,13.94,0.09,13.18,0.1,12.73,0.05,,,Petrus 2020,VLT/X-Shooter,2014,4.17,143.9,8,M9,0.5,"2,542.00",104,0.0191,0.00477294,0.005623413252,0.001295717339,0.3976980783,0.02466344672,Line Strength,Ha Line Luminosity,,,4.86E-16,2.60E-17,,,5.60E-16,2.10E-17,,,2.30E-17,1.80E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30E-17,1.50E-17,,2.70E-17,1.10E-17,,,,,,,,,,-5.7,0.3000,7.24E-13,6.18E-13,Alcala 2017,,
HD 142250B,HIP 77900B,COM,21.8,,BD,238.626995,-27.33260694,Upper Scorpius,,10,,2,191.2813941,-13.908,1.517,-23.265,1.097,,,0.07,,,,Petrus 2020,,,,,14.524,0.006,14.038,0.05,,,Petrus 2020,VLT/X-Shooter,4/2014,4.36,150.8,3,M9,0.5,"2,602.00",117,0.0191,0.00668212,0.001288249552,0.0004452475409,0.1808652759,0.0154146542,Line Strength,Ha Line Luminosity,,,4.00E-17,1.50E-17,,,<4.6E-17,,,,<0.45e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.22e-16,,,<0.31e-16,,,,,,,,,,,-6.79,0.0500,6.03E-14,4.17E-14,Alcala 2017,,
HD 142250B,HIP 77900B,COM,21.8,,BD,238.626995,-27.33260694,Upper Scorpius,,10,,2,191.2813941,-13.908,1.517,-23.265,1.097,,,0.07,,,,Petrus 2020,,,,,14.524,0.006,14.038,0.05,,,Petrus 2020,VLT/X-Shooter,4/2014,4.36,150.8,3,M9,0.5,"2,602.00",117,0.0191,0.00668212,0.001288249552,0.0004452475409,0.1808652759,0.0154146542,Line Strength,Ha Line Luminosity,,,5.80E-17,1.50E-17,,,<3.7E-17,,,,<2.4E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.23e-16,,,<0.20e-16,,,,,,,,,,,-6.62,0.0200,9.12E-14,8.41E-14,Alcala 2017,,
2MASS J16104714-2239492,USco 1610-2239,,,,BD,242.6964125,-22.66370083,Upper Scorpius,,10,,2,128.4703041,-10.793,1.811,-26.984,1.061,,,,,0.1762,,McMahon2020,,,15.254,0.003,14.573,0.054,14.025,0.058,,,Petrus 2020,VLT/X-Shooter,6/2014,4.01,128.5,15.4,M9,,"2,499.00",108,0.0196,0.0005,0.001318256739,0.0005163678469,0.1983352173,0.01746994142,Line Strength,Ha Line Luminosity,,,2.80E-17,9.00E-18,,,<0.13e-16,,,,<0.15e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.1e-16,,,<0.1e-16,,,,,,,,,,,-7.12,0.0900,3.47E-14,2.16E-14,Alcala 2017,,
2MASS J16104714-2239492,USco 1610-2239,,,,BD,242.6964125,-22.66370083,Upper Scorpius,,10,,2,128.4703041,-10.793,1.811,-26.984,1.061,,,,,0.1762,,McMahon2020,,,15.254,0.003,14.573,0.054,14.025,0.058,,,Petrus 2020,VLT/X-Shooter,7/2014,4.01,128.5,15.4,M9,,"2,499.00",108,0.0196,0.0005,0.001318256739,0.0005163678469,0.1983352173,0.01746994142,Line Strength,Ha Line Luminosity,,,3.90E-17,1.10E-17,,,<0.21e-16,,,,<0.13e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.11e-16,,,<0.07e-16,,,,,,,,,,,-6.96,0.0700,5.01E-14,2.89E-14,Alcala 2017,,
2MASS J16104714-2239492,USco 1610-2239,,,,BD,242.6964125,-22.66370083,Upper Scorpius,,10,,2,128.4703041,-10.793,1.811,-26.984,1.061,,,,,0.1762,,McMahon2020,,,15.254,0.003,14.573,0.054,14.025,0.058,,,Petrus 2020,VLT/X-Shooter,7/2014,4.01,128.5,15.4,M9,,"2,499.00",108,0.0196,0.0005,0.001318256739,0.0005163678469,0.1983352173,0.01746994142,Line Strength,Ha Line Luminosity,,,4.10E-17,1.60E-17,,,<0.19e-16,,,,<0.19e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.93e-16,,,<0.16e-16,,,,,,,,,,,-6.93,0.1500,5.37E-14,4.08E-14,Alcala 2017,,
2MASS J16072382-2211018,USCO J1607-2211,,,,BD,241.8493058,-22.18386417,Upper Scorpius,,10,,2,119.3061156,-17.958,2.804,-21.801,1.42,,,,,0.1283,,McMahon2020,,,15.292,0.06,14.524,0.052,14.086,0.065,,,Petrus 2020,VLT/X-Shooter,4/2014,4.05,119.3,20.8,M11,,"2,557.00",117,0.0202,0.0007,0.001445439771,0.0003663557023,0.1973075737,0.006165861679,Line Strength,Ha Line Luminosity,,,9.90E-17,1.80E-17,,,<0.23e-16,,,,<0.2e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.15e-16,,,<0.17e-16,,,,,,,,,,,-6.57,0.0700,1.23E-13,8.22E-14,Alcala 2017,,
HD 143567B,HIP 78530B,COM,4.536,,BD,240.4819037,-21.98139083,Upper Scorpius,,10,,,,,,,,,,0.075,,,,Petrus 2020,,,,,13.699,0.002,13.491,0.003,,,Petrus 2020,VLT/X-Shooter,6/2014,4.34,137.2,1.5,M7,0.5,"2,679.00",119,0.0220,0.00190918,0.002951209227,0.0006120019134,0.1880587812,0.01644229781,Line Strength,Ha Line Luminosity,,,6.10E-17,2.90E-17,,,<2.19e-16,,,,<-.79e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0-72e-16,,,<0.47e-16,,,,,,,,,,,-6.67,0.1300,8.71E-14,8.03E-14,Alcala 2017,,
HD 143567B,HIP 78530B,COM,4.536,,BD,240.4819037,-21.98139083,Upper Scorpius,,10,,,,,,,,,,0.075,,,,Petrus 2020,,,,,13.699,0.002,13.491,0.003,,,Petrus 2020,VLT/X-Shooter,6/2014,4.34,137.2,1.5,M7,0.5,"2,679.00",119,0.0220,0.00190918,0.002951209227,0.0006120019134,0.1880587812,0.01644229781,Line Strength,Ha Line Luminosity,,,6.80E-17,3.60E-17,,,<2.61e-16,,,,<1.28e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.99e-16,,,<0.95e-16,,,,,,,,,,,-6.62,0.1800,9.77E-14,6.08E-14,Alcala 2017,,
ISO-Oph 087,ISO-Oph 087,,,UPP,S,246.744329,-24.309629,p Oph,II,1,,,,,,,,,,13.3,0.2,,,Manara 2015,,,15.45,0.047,13.006,0.029,11.483,0.021,,,Manara 2015,VLT/X-Shooter,2010,3.5,125.0,,M4.5,,"3,200.00",50,0.2200,0.01,0.109,0.003,1.08,0.05,Line Strength,Ha Line Luminosity,,,1.01E-12,,,,2.49E-11,,,,4.54E-11,,,,7.76E-11,,,,,,,,,,,,9.00E-15,,,,1.00E-14,,,,1.09E-13,,,,4.00E-15,,,,,,,,6.63E-12,,,,1.06E-12,,,,,,,,9.21E-11,,,,,,,,,,,,,,-2.21,,1.20E-09,,Alcala 2014,"Luhman 2003, Baraffe 1998",
2MASS J06452774+0015514,2MASS J06452774+0015514,,,,S,101.36559,0.26428,Sh 2-284,II,0.9,1,2,3628.447025,-1.388,1.067,1.807,1.029,,,2.77,0.1,,,Kalari 2015,20.22,,16.75,0.16,15.73,0.14,15.35,0.19,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,K4V,1,"4,365.16",500,0.5600,,1.148153621,0.3353231052,1.88,,Line Strength,Ha Line Luminosity,-29,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,,2.19E-08,,De Marchi 2010,Castelli/Kurucz 2004,
[CRA2011] D25 J06444714+0013320,2MASS J06444714+0013320,,,,S,101.19643,0.22556,Sh 2-284,II,0.9,1,,,,,,,,,2.15,0.1,,,Kalari 2015,18.51,,,,,,,,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,K2V,1,"4,786.30",550,0.9100,,2.290867653,0.6690575555,2.21,,Line Strength,Ha Line Luminosity,-20.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,2.45E-08,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06450075+0013356,2MASS J06450075+0013356,,,,S,101.25314,0.22656,Sh 2-284,II,1.5,1,,,-0.607,0.729,0.326,0.881,,,1.89,0.1,,,Kalari 2015,20.24,,16.27,0.12,15.31,0.1,14.51,0.08,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,K0V,1,"4,897.79",550,1.0500,,1.905460718,0.5564978354,1.92,,Line Strength,Ha Line Luminosity,-31.69,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,,2.45E-08,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06451841+0022189,2MASS J06451841+0022189,,,,S,101.32672,0.37192,Sh 2-284,II,8.5,1,2,1478.852411,-3.621,0.473,0.855,0.692,,,1.05,0.1,,,Kalari 2015,18.15,,16.2,0.12,15.63,0.16,15.24,0.17,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,G4V,1,"5,623.41",650,1.1200,,1.548816619,0.4523384228,1.31,,Line Strength,Ha Line Luminosity,-5.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.36,,2.09E-09,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06451318+0018307,2MASS J06451318+0018307,,,,S,101.30493,0.30853,Sh 2-284,II,9.3,1,,,,,,,,,2.64,0.1,,,Kalari 2015,19.21,,16.343,0.121,15.66,0.14,14.846,0.123,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,G0V,1,"5,888.44",700,1.1500,,1.9498446,0.5694603352,1.35,,Line Strength,Ha Line Luminosity,-40.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,,0.00000002,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06451616+0022238,2MASS J06451616+0022238,,,,S,101.31734,0.37328,Sh 2-284,II,14.8,1,,,-2.531,1.055,-5.029,1.175,,,3.84,0.1,,,Kalari 2015,18.99,,14.59,0.07,13.37,0.07,,,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,F3V,1,"6,918.31",800,1.2300,,3.388441561,0.9896086423,1.28,,Line Strength,Ha Line Luminosity,-5.3,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.09,,3.47E-09,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06443827+0019229,2MASS J06443827+0019229,,,,S,101.15947,0.32303,Sh 2-284,II,10.9,1,2,2652.519894,-0.777,0.21,0.926,0.208,,,1.3,0.1,,,Kalari 2015,17.08,,15.31,0.05,14.61,0.06,13.85,0.05,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,F2V,1,"6,760.83",800,1.2600,,4.570881896,1.334945327,1.56,,Line Strength,Ha Line Luminosity,-11.7,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6,,1.26E-08,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06450274+0018077,2MASS J06450274+0018077,,,,S,101.26143,0.30215,Sh 2-284,II,9.5,1,,,-0.401,0.458,1.618,0.492,,,3.14,0.1,,,Kalari 2015,18.66,,15.36,0.05,14.509,0.05,13.77,0.05,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,F3V,1,"6,918.31",800,1.3000,,5.495408739,1.604957289,1.64,,Line Strength,Ha Line Luminosity,-33.7,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,4.37E-08,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06444936+0020245,2MASS J06444936+0020245,,,,S,101.20568,0.34015,Sh 2-284,I,4.3,1,2,3827.018752,-0.354,0.501,0.805,0.601,,,1.7,0.1,,,Kalari 2015,17.97,,15.79,0.1,14.77,0.09,14,0.09,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,G5V,1,"5,623.41",650,1.3600,,2.630267992,0.7681808553,1.71,,Line Strength,Ha Line Luminosity,-14.87,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.67,,1.12E-08,,De Marchi 2010,Castelli/Kurucz 2004,
2MASS J06451727+0023454,2MASS J06451727+0023454,,,,S,101.32197,0.39595,Sh 2-284,II,5.6,1,2,1652.346332,0.424,0.44,1.809,0.486,,,2.69,0.1,,,Kalari 2015,17.54,,13.52,0.04,11.9,0.03,10.599,0.026,,,Kalari 2015,VIMOS/Robert Stobie Spectrograph,2013,4,4000.0,400,F2V,1,"6,760.83",800,1.5700,,10,2.920542156,2.31,,Line Strength,Ha Line Luminosity,-16.58,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,4.68E-08,,De Marchi 2010,Castelli/Kurucz 2004,
